1001;Bickers & Bickers;202-555-0115;bickers@bb.com;1st Ave;D Street;Chicago;60603;Active
1002;Slaughter & Slaugher;202-556-0106;slaughters@ss.com;2nd Ave;B Street;Chicago;60603;Active
1003;Payne & Fears;202-557-0115;payne@pf.com;2nd Ave;F Street;Chicago;60603;Active
1004;Dewey, Cheatum & Howe;202-558-0115;dewey@dch.com;3rd Ave;C Street;Chicago;60603;Active
1005;Ball & Lynch;202-559-0135;low@lbl.com;Low,3rd Ave;E Street;Chicago;60603;Active
1006;Argue & Phibbs;202-565-0215;argue@ap.com;5th Ave;B Street;Chicago;60603;Active
1007;Hunter & Lyon;202-575-0115;hunter@hl.com;5th Ave;F Street;Chicago;60603;Active
1008;Ruff & Ready;202-585-0118;ruff@rr.com;7th Ave;A Street;Chicago;60603;Active
1009;Wright, Judge & Jury;202-595-0195;wright@wjj.com;7th Ave;G Street;Chicago;60603;Active
1010;Susan Liddy-Gates;202-545-0715;susan@slg.com;6th Ave;D Street;Chicago;60603;Active
11;name1;phone1;email1;ad11;ad21;city1;zip1;Active
